"","ID","Ozone","Solar.R","Wind","Temp","Month","Day","Temp_C"
"63",63,49,248,9.2,85,7,2,29.4444444444444
"64",64,32,236,9.2,81,7,3,27.2222222222222
"65",65,NA,101,10.9,84,7,4,28.8888888888889
"66",66,64,175,4.6,83,7,5,28.3333333333333
"67",67,40,314,10.9,83,7,6,28.3333333333333
"68",68,77,276,5.1,88,7,7,31.1111111111111
"69",69,97,267,6.3,92,7,8,33.3333333333333
"70",70,97,272,5.7,92,7,9,33.3333333333333
"71",71,85,175,7.4,89,7,10,31.6666666666667
"72",72,NA,139,8.6,82,7,11,27.7777777777778
"73",73,10,264,14.3,73,7,12,22.7777777777778
"74",74,27,175,14.9,81,7,13,27.2222222222222
"75",75,NA,291,14.9,91,7,14,32.7777777777778
"76",76,7,48,14.3,80,7,15,26.6666666666667
"77",77,48,260,6.9,81,7,16,27.2222222222222
"78",78,35,274,10.3,82,7,17,27.7777777777778
"79",79,61,285,6.3,84,7,18,28.8888888888889
"80",80,79,187,5.1,87,7,19,30.5555555555556
"81",81,63,220,11.5,85,7,20,29.4444444444444
"82",82,16,7,6.9,74,7,21,23.3333333333333
"83",83,NA,258,9.7,81,7,22,27.2222222222222
"84",84,NA,295,11.5,82,7,23,27.7777777777778
"85",85,80,294,8.6,86,7,24,30
"86",86,108,223,8,85,7,25,29.4444444444444
"87",87,20,81,8.6,82,7,26,27.7777777777778
"88",88,52,82,12,86,7,27,30
"89",89,82,213,7.4,88,7,28,31.1111111111111
"90",90,50,275,7.4,86,7,29,30
"91",91,64,253,7.4,83,7,30,28.3333333333333
"92",92,59,254,9.2,81,7,31,27.2222222222222
"93",93,39,83,6.9,81,8,1,27.2222222222222
"94",94,9,24,13.8,81,8,2,27.2222222222222
"95",95,16,77,7.4,82,8,3,27.7777777777778
"96",96,78,NA,6.9,86,8,4,30
"97",97,35,NA,7.4,85,8,5,29.4444444444444
"98",98,66,NA,4.6,87,8,6,30.5555555555556
"99",99,122,255,4,89,8,7,31.6666666666667
"100",100,89,229,10.3,90,8,8,32.2222222222222
"101",101,110,207,8,90,8,9,32.2222222222222
"102",102,NA,222,8.6,92,8,10,33.3333333333333
"103",103,NA,137,11.5,86,8,11,30
"104",104,44,192,11.5,86,8,12,30
"105",105,28,273,11.5,82,8,13,27.7777777777778
"106",106,65,157,9.7,80,8,14,26.6666666666667
"107",107,NA,64,11.5,79,8,15,26.1111111111111
"108",108,22,71,10.3,77,8,16,25
"109",109,59,51,6.3,79,8,17,26.1111111111111
"110",110,23,115,7.4,76,8,18,24.4444444444444
"111",111,31,244,10.9,78,8,19,25.5555555555556
"112",112,44,190,10.3,78,8,20,25.5555555555556
"113",113,21,259,15.5,77,8,21,25
"114",114,9,36,14.3,72,8,22,22.2222222222222
"115",115,NA,255,12.6,75,8,23,23.8888888888889
"116",116,45,212,9.7,79,8,24,26.1111111111111
"117",117,168,238,3.4,81,8,25,27.2222222222222
"118",118,73,215,8,86,8,26,30
"119",119,NA,153,5.7,88,8,27,31.1111111111111
"120",120,76,203,9.7,97,8,28,36.1111111111111
"121",121,118,225,2.3,94,8,29,34.4444444444444
"122",122,84,237,6.3,96,8,30,35.5555555555556
"123",123,85,188,6.3,94,8,31,34.4444444444444
"124",124,96,167,6.9,91,9,1,32.7777777777778
"125",125,78,197,5.1,92,9,2,33.3333333333333
"126",126,73,183,2.8,93,9,3,33.8888888888889
"127",127,91,189,4.6,93,9,4,33.8888888888889
"128",128,47,95,7.4,87,9,5,30.5555555555556
"129",129,32,92,15.5,84,9,6,28.8888888888889
"130",130,20,252,10.9,80,9,7,26.6666666666667
"131",131,23,220,10.3,78,9,8,25.5555555555556
"132",132,21,230,10.9,75,9,9,23.8888888888889
"133",133,24,259,9.7,73,9,10,22.7777777777778
"134",134,44,236,14.9,81,9,11,27.2222222222222
"135",135,21,259,15.5,76,9,12,24.4444444444444
"136",136,28,238,6.3,77,9,13,25
"137",137,9,24,10.9,71,9,14,21.6666666666667
"138",138,13,112,11.5,71,9,15,21.6666666666667
"139",139,46,237,6.9,78,9,16,25.5555555555556
"140",140,18,224,13.8,67,9,17,19.4444444444444
"141",141,13,27,10.3,76,9,18,24.4444444444444
"142",142,24,238,10.3,68,9,19,20
"143",143,16,201,8,82,9,20,27.7777777777778
"144",144,13,238,12.6,64,9,21,17.7777777777778
"145",145,23,14,9.2,71,9,22,21.6666666666667
"146",146,36,139,10.3,81,9,23,27.2222222222222
"147",147,7,49,10.3,69,9,24,20.5555555555556
"148",148,14,20,16.6,63,9,25,17.2222222222222
"149",149,30,193,6.9,70,9,26,21.1111111111111
"150",150,NA,145,13.2,77,9,27,25
"151",151,14,191,14.3,75,9,28,23.8888888888889
"152",152,18,131,8,76,9,29,24.4444444444444
"153",153,20,223,11.5,68,9,30,20
